bin_idx,L,R,data_count,RvM_bin,diff,status
1,0.1,25.098750000000003,0,1.314847414028367,-1.314847414028367,MISMATCH
2,25.098750000000003,50.097500000000004,0,6.309244575745266,-6.309244575745266,MISMATCH
3,50.097500000000004,75.09625,0,9.092709033094502,-9.092709033094502,MISMATCH
4,75.09625,100.095,0,9.955392629945344,-9.955392629945344,MISMATCH
5,100.095,125.09375,0,10.854028769913274,-10.854028769913274,MISMATCH
6,125.09375,150.0925,0,10.773509754520553,-10.773509754520553,MISMATCH
7,150.0925,175.09125,0,11.706662648799885,-11.706662648799885,MISMATCH
8,175.09125,200.09,0,11.649493090062876,-11.649493090062876,MISMATCH
9,200.09,225.08875,0,13.599541410906781,-13.599541410906781,MISMATCH
10,225.08875,250.0875,0,12.555183112171676,-12.555183112171676,MISMATCH
11,250.0875,275.08625,0,13.06773612750024,-13.06773612750024,MISMATCH
12,275.08625000000006,300.08500000000004,0,14.479038396964853,-14.479038396964853,MISMATCH
13,300.08500000000004,325.08375,0,14.445822117974274,-14.445822117974274,MISMATCH
14,325.08375,350.0825,0,13.5728741278769,-13.5728741278769,MISMATCH
15,350.08250000000004,375.08125000000007,0,14.386713872359394,-14.386713872359394,MISMATCH
16,375.08125000000007,400.08000000000004,0,15.360159778526594,-15.360159778526594,MISMATCH
17,400.08000000000004,425.07875,0,15.335269071879878,-15.335269071879878,MISMATCH
18,425.07875,450.0775,0,14.534201245603697,-14.534201245603697,MISMATCH
19,450.07750000000004,475.0762500000001,0,15.289725388936887,-15.289725388936887,MISMATCH
20,475.0762500000001,500.07500000000005,0,15.268771375613966,-15.268771375613966,MISMATCH
21,500.07500000000005,525.07375,0,16.248866525408744,-16.248866525408744,MISMATCH
22,525.07375,550.0725,0,16.082412035656546,-16.082412035656546,MISMATCH
23,550.0725000000001,575.0712500000001,0,15.21181750831272,-15.21181750831272,MISMATCH
24,575.0712500000001,600.07,0,17.194511771795874,-17.194511771795874,MISMATCH
25,600.07,625.06875,0,16.177927782561312,-16.177927782561312,MISMATCH
26,625.06875,650.0675,0,16.162007720215456,-16.162007720215456,MISMATCH
27,650.0675,675.06625,0,17.071954498232685,-17.071954498232685,MISMATCH
28,675.0662500000001,700.065,0,16.13196052034516,-16.13196052034516,MISMATCH
29,700.065,725.06375,0,16.117747368489404,-16.117747368489404,MISMATCH
30,725.06375,750.0625,0,18.49301184913378,-18.49301184913378,MISMATCH
31,750.0625000000001,775.0612500000001,0,18.09075956911812,-18.09075956911812,MISMATCH
32,775.0612500000001,800.0600000000001,0,17.077922643053682,-17.077922643053682,MISMATCH
